,Title,videoPublishedAt,viewCount,likeCount,commentCount,favoriteCount,duration,categoryId
157,Encuentro TESOROS en la tienda de segunda mano en Bélgica ❤️😃 oferta de aspiradora limitada!,2025-03-28T19:49:34Z,10187,1285,75,0,PT13M4S,26
158,"Action: nueva sección de suplementos, manualidades, novedades en vajillas, ofertas",2025-03-27T16:41:59Z,6452,894,48,0,PT11M33S,26
159,Limpiando el salón bajo presión 🧽 aspiradora de oferta Ultenic U16,2025-03-26T13:00:04Z,8539,1019,95,0,PT12M46S,26
160,Compra en Lidl para familia numerosa 😃 zona bazar hogar,2025-03-24T13:36:48Z,12719,1279,79,0,PT19M24S,26
161,He descubierto que tenía que hacer esto a los 46 años,2025-03-21T13:18:35Z,10464,1149,209,0,PT21M58S,26
162,¿Que fregasuelos es mejor ⁉️ Hoy lo ponemos a prueba,2025-03-20T12:23:57Z,6749,885,268,0,PT23M46S,26
163,Os he hecho caso: el mejor chollo que he comprado este mes 😁,2025-03-19T12:23:12Z,11258,1457,215,0,PT10M48S,26
164,Tienda de segunda mano en Bélgica: siempre sales con algo diferente a lo que vas a buscar,2025-03-18T13:39:45Z,10533,1251,93,0,PT17M16S,26
165,Esto nos ha cambiado la vida ➡️ descubrimientos de productos que funcionan súper útiles,2025-03-17T12:54:11Z,13504,1550,187,0,PT18M3S,26
166,Por esto hemos quitado las gallinas 😞,2025-03-14T12:10:26Z,17113,1947,188,0,PT10M39S,26
167,Cómo afrontar las labores de la casa cuando no tienes el día,2025-03-13T12:04:45Z,9724,1536,221,0,PT11M33S,26
168,Doblando montañas de ropa de familia numerosa,2025-03-12T12:27:36Z,7045,984,112,0,PT18M24S,26
169,Duda sal de mi cuerpo‼️,2025-03-11T19:00:34Z,3939,286,8,0,PT15S,26
170,como me hacen esto!?,2025-03-11T13:01:03Z,5008,332,8,0,PT15S,26
171,"No me gusta el minimalismo, lo confieso",2025-03-11T12:05:50Z,8277,1187,208,0,PT14M47S,26
172,"Batidora de jarra Bosh 1200w. UNBOXING y REVIEW, hago batido típico de Marruecos",2025-03-10T12:00:24Z,6899,900,105,0,PT16M1S,26
173,Platos preciosos para Ramadan,2025-03-07T19:18:06Z,7576,413,12,0,PT12S,26
174,Este era el sueño de mi madre ✨️ os llevo de tiendas a Holanda,2025-03-07T12:00:46Z,9239,1145,71,0,PT11M45S,26
175,Voy a por una batidora y vuelvo con platos carísimos 😓,2025-03-06T12:52:47Z,16573,1575,187,0,PT27M2S,26
176,Comentarios pesados de aguantar,2025-03-05T20:44:07Z,16493,882,54,0,PT15S,26
177,Porque ya no hablo de mi religión ‼️Limpiando la cocina mientras charlamos 😃,2025-03-05T12:05:00Z,14006,1413,319,0,PT31M48S,26
178,La última vez que lo hago así 😒 no lo llevo bien,2025-03-04T12:00:22Z,9172,1061,104,0,PT22M9S,26
179,Nuestro conejito 🐇 caprichoso,2025-03-04T11:42:10Z,2842,362,22,0,PT16S,26
180,Este es el panorama que tengo 😓 ganas cero,2025-03-03T12:00:56Z,11924,1371,105,0,PT21M4S,26
181,Truco: quitando rotulador permanente de la pared con laca,2025-03-02T20:05:20Z,13126,302,13,0,PT15S,26
182,Truco para manchas de tinta + unboxing de vinted + pongo el lavavajillas,2025-03-02T12:18:18Z,4810,682,69,0,PT11M52S,26
183,"La sinceridad de los niños, gorro de Temu 😅",2025-03-01T19:45:19Z,15624,817,29,0,PT31S,26
184,"HAUL: flores de tela, peluca, jeringuilla gigante, vestido 👗...",2025-02-27T12:01:08Z,6958,976,110,0,PT11M32S,26
185,Mis hijos compran un sofá por 1 euro y lo traen solos 😅,2025-02-26T12:01:06Z,16172,1858,124,0,PT11M58S,26
186,Menú semanal fácil y rápido para no tener que pensar 📢 llega RAMADAN‼️,2025-02-24T12:15:08Z,5658,743,118,0,PT13M44S,27
187,"Aspirador para colchones JIGOO T600: aspiración, iones, luz UV, calor, ultrasonidos y perfume ‼️",2025-02-22T13:40:50Z,7117,777,92,0,PT20M57S,26
188,"Unboxing TEMU: servir comida, pajaritos para la ventana, juguetes para la caja de la calma",2025-02-20T11:51:36Z,5276,817,85,0,PT11M54S,26
189,Cosas que hacían nuestras madres y abuelos y hoy en día no se hacen,2025-02-19T10:00:49Z,5756,845,155,0,PT14M37S,26
190,Hay algo que no puede faltar en tu cocina,2025-02-14T11:09:50Z,9064,1060,127,0,PT22M15S,26
191,Mi organización con 6 hijos 🚫 me gusta meterme en líos ⚠️  no puede llover a gusto de todos,2025-02-10T10:18:26Z,8136,1078,235,0,PT19M11S,26
192,Porque tengo los muebles tan mal si son tan baratos aquí 🇧🇪 Decoración de casa con niños pequeños,2025-01-28T10:00:21Z,10767,1387,221,0,PT15M32S,26
193,No te acostumbres a vivir mal ▶️ cómo solucionar las cosas que van con trucos en casa,2025-01-27T10:00:08Z,11249,1321,133,0,PT16M17S,26
194,Compro muebles mini en la tienda de segunda mano para mi cuarto mini del sótano 😲 #Bélgica,2025-01-26T11:00:45Z,17642,1856,183,0,PT12M11S,26
195,Se me da fatal y es la gran espina que tengo clavada: las plantas 😔,2025-01-24T12:04:02Z,8774,1133,242,0,PT18M53S,26
196,Me timaron ‼️ Me están rumiando la cabeza ▶️la cabrá siempre tira al monte,2025-01-22T10:17:10Z,12323,1451,194,0,PT13M32S,26
197,No puedes comprar un FUTON sin saber esto: pros y contras sobre el colchón japonés ✔️,2025-01-19T19:07:13Z,13452,1096,120,0,PT27M46S,26
198,📢 cómo organizamos las tareas del hogar y las finanzas de 6 niños desde 3 a 14 años,2025-01-15T10:00:18Z,11829,1470,208,0,PT20M51S,26
199,MENÚ semanal con INTELIGENCIA ARTIFICIAL ✨️ No sabes lo que tienes hasta que lo pierdes,2025-01-09T10:00:21Z,6921,983,110,0,PT15M18S,26
200,✨️Cuesta de enero: trucos para ahorrar y pasar el mes más desahogado,2025-01-07T10:00:39Z,10654,1190,151,0,PT17M29S,26
201,#HAUL de SHEIN: Las cestas de ropa para mi ARMARIO nuevo 👉 REGALO para mi hija 🎁 ¿silicona toxica?,2024-12-25T14:29:55Z,12121,1486,145,0,PT25M46S,26
202,Porqué no he pintado el sótano antes de poner mi habitación 😱 hay que explicarlo todo 😅,2024-12-23T11:29:21Z,11369,1493,171,0,PT12M16S,26
203,✨️ te SORPRENDERÁ este ARMARIO para el hueco de la ESCALERA 📢 lo monto con ayudantes de LUJO 👀,2024-12-22T15:06:18Z,10277,1473,163,0,PT26M22S,26
